title,developer,publisher,tags,overview
Spooky's Jump Scare Mansion,Lag Studios ,Lag Studios ,"['Horror', 'Free to Play', 'Cute', 'First-Person', 'Singleplayer', 'Psychological Horror', 'Indie', 'Adventure', 'Dark', 'Funny', 'Atmospheric', 'Action', 'Walking Simulator', 'Survival', 'Survival Horror', 'Anime', 'Gore', 'Comedy', 'Multiplayer', 'Illuminati']",can you survive 1000 room of cute terror or will you break once the cuteness start to fade off and you be run for your life from the unspeakable hideous being that shake and writhe in bowel of this house they wait for you they wait and hunger for meet you they long to finally meet you and show you how flexible your skin can be after it have soak in blood will you brave this journey will you set to beat the impossible the insane and the incorporeal
Sakura Clicker,Winged Cloud ,Winged Cloud ,"['Nudity', 'Anime', 'Free to Play', 'Mature', 'Sexual Content', 'Clicker', 'Female Protagonist', 'Singleplayer', 'Casual', 'Indie', 'Fantasy', 'NSFW', 'Memes', 'Funny', '2D', 'RPG', 'Story Rich', 'Adventure', 'Dating Sim', 'Illuminati']",the late entry in the sakura series be more action pack than ever before sakura clickers be a fast paced exciting adventure full of content in which you defeat your foe with the power of your mouse fearsome foe the battle never end as you fight a horde of enemy each one more powerful than the last as they attempt to impede your path customisable character as you earn gold from slay your foe you can purchase and outfit your hero with a variety of costume helpful ally you do not have to face these evil alone as you progress you may also hire a number of ally that be dedicate to assist you in fight the evil that threaten the world also include be 800 moan as you defeat the monster voice actor credit kitamori ayukanzaki canaritsukumo madokakaneta megumikiritani chouchodoi yukariarikawa manashibui mikikudou mamiiida sachiyasuda mizuho
WARMODE,WARTEAM ,WARTEAM ,"['Early Access', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'First-Person', 'Early Access', 'War', 'Massively Multiplayer', 'Co-op', 'Zombies', 'Singleplayer', 'Survival', 'Controller', 'Open World', 'Online Co-Op', 'Gore', 'Atmospheric', 'Adventure']",free to play shooter about the confrontation of two irreconcilable side represent by the government military housing and the armed hireling try your hand at virtual battle with off scale dynamic and hurricane gameplay in the spirit of the classical shooter in the game be available a wide range of map and several mode level system allow player to open achievement weapon sticker and more
Fractured Space,Edge Case Games Ltd. ,Edge Case Games Ltd. ,"['Space', 'Multiplayer', 'Free to Play', 'PvP', 'MOBA', 'Action', 'Strategy', 'Sci-fi', 'Shooter', 'Space Sim', 'Tactical', 'Indie', 'Team-Based', 'Competitive', 'Co-op', 'Massively Multiplayer', 'Early Access', 'Open World', 'Simulation', 'Survival']",take the helm of a gigantic capital ship and get ready for battle regular episode give you new map and way to fight or play 5 v 5 pve or pvp in classic conquest the high intensity moment of a shooter combine with careful team tactic and positioning as you battle across a multi sector map fractured space be an award win team game you can choose to play alone with a team of bot to help you with other player against a team of ai or in full pvp new episode be introduce regularly and be free to play though all the legacy episode and their content pack be also available for purchase and solo play the game put you in control of an immense capital ship and there be dozen to unlock and select each ship have its own strength and weakness and a carefully select crew can make all the difference in battle battle be what its all about whether you fight in 5 v 5 conquest against other player or take on the challenge of each new episode your tactic will be put to the test jump into a grow active friendly community fracture space be free to play and we put gameplay first we keep thing fair by make sure you can not pay to win and you will need to work to develop your own skill and play as a team to do well regular monthly enhancement to the game keep thing fresh and you can keep up to date on our website in discord or on the forum we be also active on facebook twitter and youtube
Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment ",Valve ,"['FPS', 'Multiplayer', 'Shooter', 'Action', 'Team-Based', 'Competitive', 'Tactical', 'First-Person', 'e-sports', 'PvP', 'Online Co-Op', 'Military', 'Co-op', 'Strategy', 'War', 'Trading', 'Difficult', 'Realistic', 'Fast-Paced', 'Moddable']",counter strike global offensive cs go expand upon the team base action gameplay that it pioneer when it be launch 19 year ago cs go feature new map character weapon and game mode and deliver update version of the classic cs content de dust2 etc counter strike take the gaming industry by surprise when the unlikely mod become the most play online pc action game in the world almost immediately after its release in august 1999 say doug lombardi at valve for the past 12 year it have continue to be one of the most play game in the world headline competitive gaming tournament and sell over 25 million unit worldwide across the franchise cs go promise to expand on cs award win gameplay and deliver it to gamer on the pc as well as the next gen console and the mac
Dota 2,Valve ,Valve ,"['Free to Play', 'MOBA', 'Strategy', 'Multiplayer', 'Team-Based', 'Action', 'e-sports', 'Online Co-Op', 'Competitive', 'PvP', 'RTS', 'Difficult', 'RPG', 'Fantasy', 'Tower Defense', 'Co-op', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']",the most play game on steam every day million of player worldwide enter battle as one of over a hundred dota hero and no matter if it be their 10th hour of play or 1 000th there be always something new to discover with regular update that ensure a constant evolution of gameplay feature and hero dota 2 have truly take on a life of its own one battlefield infinite possibility when it come to diversity of hero ability and powerful item dota boast an endless arrayno two game be the same any hero can fill multiple role and there be an abundance of item to help meet the need of each game dota do not provide limitation on how to play it empower you to express your own style all hero be free competitive balance be dotas crown jewel and to ensure everyone be play on an even field the core content of the gamelike the vast pool of heroesis available to all player fan can collect cosmetic for hero and fun add on for the world they inhabit but everything you need to play be already include before you join your first match bring your friend and party up dota be deep and constantly evolve but it be never too late to join learn the rope play co op vs bot sharpen your skill in the hero demo mode jump into the behavior and skill base matchmaking system that ensure you will be match with the right player each game
Path of Exile,Grinding Gear Games ,Grinding Gear Games ,"['Free to Play', 'Action RPG', 'Hack and Slash', 'RPG', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Loot', 'Fantasy', 'Adventure', 'MMORPG', 'Indie', 'Dungeon Crawler', 'Online Co-Op', 'Co-op', 'Character Customization', 'PvE', 'Dark Fantasy', 'Inventory Management', 'Fishing']",you be an exile struggle to survive on the dark continent of wraeclast as you fight to earn power that will allow you to exact your revenge against those who wrong you create by hardcore gamer path of exile be an online action rpg set in a dark fantasy world with a focus on visceral action combat powerful item and deep character customization path of exile be completely free and will never be pay to win key featuresfreedom power revenge banish for your misdeed to the dark brutal world of wraeclast you play as the duelist witch ranger templar marauder shadow or the scion class from forsaken shore through to the ruin city of sarn explore wraeclast and uncover the ancient secret wait for you unlimited character customizationcreate and customize hundred of unique skill combination from tradable itemized gem and our gigantic passive skill tree combine skill gem support gem and trigger gem to create your own unique combination of power defense and destruction deadly missionsthe forsake master each have their own style of mission and each of these mission have many variation as you explore deeper into wraeclast the pool of available variation increase to challenge you in new way all of the mission and their variation can occur anywhere in the game include within end game map dress to killpath of exile be all about item find collect and trade magic rare and unique item with arcane property then customize your character build around the deadly combination you possess brutal competitive playbattle in pvp tournament season and capture the flag event for worldwide recognition compete in daily league and race event that run as separate game world with their own ladder and economy to win valuable prize customise your hideoutin their extensive travel throughout wraeclast the forsake master have discover ideal location for an exile to use as their own secret hideout once you have earn a master trust you may be take to a hideout where you can create your own personalised town master reside in your hideout offer you daily mission and train you in advanced crafting option use your hideout as a quiet place to craft after battle or expand it and use it as a personalised guild hall with hundred of decoration fair to play never pay to win we be committed to create a fair playing field for all player you can not gain gameplay advantage by spend real money in path of exile
War Thunder,Gaijin Entertainment ,Gaijin Entertainment ,"['Free to Play', 'World War II', 'Multiplayer', 'Simulation', 'Flight', 'War', 'Tanks', 'Military', 'Massively Multiplayer', 'Action', 'Realistic', 'Historical', 'Shooter', 'Team-Based', 'Co-op', 'Strategy', 'Arcade', 'FPS', 'Open World', 'TrackIR']",war thunder be the most comprehensive free to play cross platform mmo military game for windows linux mac playstation4 and xbox one dedicated to aviation armoured vehicle and naval craft from world war ii and the cold war join now and take part in major battle on land in the air and at sea fight with million of player from all over the world in an ever evolve environment in war thunder aircraft attack helicopter ground force and naval ship collaborate in realistic competitive battle you can choose from over 1 000 vehicle and an extensive variety of combat situation many of which be exclusive you can find yourself blast your pursuer from a bomber turret defend your teammate on the ground from an air raid with anti aircraft gun shoot down enemy plane with a firestorm from multiple rocket launcher or try to sink an enemy warship with a torpedo from a fast attack boat feature include seamless cross platform gameplay between windows pc linux mac playstation4 with xbox one user be include in pc battle everyone on the same server over 1 000 highly detailed aircraft helicopter tank warship and other combat vehicle craft carefully from historical document and survive source 80 map represent the main historical battle theater intense pvp experience in full scale combat mission at various difficulty setting for all play style and degree of experience rich pve content include dynamic historical campaign and solo mission regular content update include new vehicle map mission and nation astonishing graphic authentic sound effect and beautiful music create an atmosphere to fully immerse yourself in create custom content for war thunder and share it on war thunder live with the prospect of earn real money through the revenue share partner system
Ring of Elysium,Aurora Studio ,Tencent Games ,"['Early Access', 'Free to Play', 'Battle Royale', 'Shooter', 'Survival', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Open World', 'Third-Person Shooter', 'Early Access', 'FPS', 'Co-op', 'PvP', 'Tactical', 'First-Person', 'Violent', 'Destruction', 'Sandbox', 'Gore']", 
Team Fortress 2,Valve ,Valve ,"['Free to Play', 'Multiplayer', 'FPS', 'Action', 'Shooter', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Trading', 'Cartoony', 'Competitive', 'Online Co-Op', 'Co-op', 'Robots', 'Comedy', 'Tactical', 'Crafting', 'Cartoon', 'Moddable']",  the most fun you can have online pc gameris now free there s no catch play as much as you want as long as you like the most highly rate free game of all time one of the most popular online action game of all time team fortress 2 deliver constant free updatesnew game mode map equipment and most importantly hat nine distinct class provide a broad range of tactical ability and personality and lend themselves to a variety of player skill new to tf do not sweat it no matter what your style and experience we have get a character for you detailed training and offline practice mode will help you hone your skill before jump into one of tf2s many game mode include capture the flag control point payload arena king of the hill and more make a character your own there be hundred of weapon hat and more to collect craft buy and trade tweak your favorite class to suit your gameplay style and personal taste you do not need to pay to winvirtually all of the item in the mann co store can also be find in game
